2195,AV LOGROÑO 45,506,100760.0,4478141.62,448610.40
2187,AV LOGROÑO 102 C2,502,99520.0,4479991.09,450721.08
24436,CRTA BARRIO DE LA FORTUNA 33,498,99270.0,4468411.77,433930.04
5164,CEA BERMUDEZ - VALLEHERMOSO,496,99200.0,4476904.97,440000.69
27592,M30PK0.500C INT C3,491,97100.0,4481183.85,442839.64
32152,PZA CAMPILLO DEL MUNDO NUEVO 5,486,97200.0,4473079.00,439933.10
2193,AV LOGROÑO 287,456,90760.0,4479703.59,450569.29
33725,SUBTRRANEO COSTA RICA,456,60900.0,NaN,NaN
4144,CALLE ARGUMOSA 43,449,89800.0,4473206.00,440964.10
27576,"M-30 CALZADA 1 KM 25,700",442,45400.0,NaN,NaN
2002,AV ENSANCHE DE VALLECAS 41 C2,440,88000.0,4468596.23,448660.93
27578,"M-30 NC K 17,170 CR1",440,44600.0,NaN,NaN
30,A2PK4.750 ENT C2,430,85010.0,4477498.28,444363.04
27613,M30PK24.700C EXT C2,428,85380.0,4479988.18,436428.67
3424,AVENIDA OPORTO 6,428,85600.0,4470761.65,438914.99
4143,CALLE ARGENSOLA 27,426,85200.0,4475330.50,441123.60
4911,CARAB. ARAVACA - VILLAVICIOSA,425,85000.0,4472312.57,434397.30
1883,AV DE ANDALUCIA 50 C2,424,84800.0,4468177.59,441090.00
29467,PO CASTELLANA 105,424,84690.0,4478627.48,441556.35
2738,AV P NERUDA B PALENCIA IMP C1,423,84600.0,4471701.55,445652.49
24437,CRTA BOADILLA DEL MONTE 75,418,83600.0,4472352.95,434161.44
24443,CRTA VILLAVERDE A VALLECAS 284,415,83000.0,4469394.74,445917.65
4146,CALLE BALTASAR GRACIAN 6,413,82600.0,4475698.50,439736.88
3854,C ALCALA 629,405,81000.0,4477753.34,448350.19
224,ALCALA - SAN ROMUALDO,402,80290.0,4477170.40,447180.68
27368,LUIS ARAGONES-APARC CIVITAS C1,391,78200.0,4476580.12,448824.55
3926,C FUENTE CARRANTONA 44 C1,371,74200.0,4474115.01,446846.27
1856,AV D ANDALUCIA 50 ACERA IMP C1,365,72780.0,4468156.18,441115.82
4000,C SILVANO 165,355,71000.0,4479294.72,447052.41
4029,C. MARQUES DE LA ENSENADA 16,349,69800.0,4475161.50,441286.16
24442,CRTA VILLAVERDE A VALLECAS 253,347,69400.0,4468793.34,443604.91
2004,AV ENSANCHE DE VALLECAS 52 C1,347,69400.0,4468574.13,448646.43
1703,AV CANILLEJAS V - VICALVARADA,344,68800.0,4473460.36,448251.01
1315,AV ANDALUCIA 71 C2,337,67180.0,4465901.49,441167.21
